No,Tag,TagName,
505,TIA1929BZC
506,II1940C
507,PI1939OC
508,ZI1940C
509,ZI19261C
510,ZI1933C
511,PI1933IC
512,SI1933C
513,II1933C
514,II1931C
515,TIA1933OC
516,PI1934IC
517,PI1934OC
518,ZI1935C
519,II1935C
520,II1943C
521,LIA19491C
522,LIA19493C
523,LIA19495C
524,A2915
525,A2916
526,A2917
527,A2918
528,A2919
529,A2920
530,A2921
531,ZF2922
532,A2926
533,A2929
534,A2929B
535,A2927
536,A2928
537,A2929A
538,ZF29392
539,A2939
540,A2940
541,A2933
542,A2931
543,A2934
544,A2935
545,A2943
546,LIA17211C
547,LIA19151C
548,LIA19161C
549,LIA19171C
550,II2919C
551,SumFICementB
552,FI2915C
553,FI2916C
554,FI2917C
555,FI2918C
556,FI2914C
557,Total2915
558,Total2916
559,Total2917
560,Total2918
561,Total2914
562,TotalCementB
563,II2920C
564,WI2924C
565,PI2925IC
566,TIA2925OC
567,PI2925OC
568,ZI2926C
569,II2926C
570,ZI29262C
571,PI2924ZC
572,PI2924YC
573,LI2924ZC
574,LI2924YC
575,TIA2929AC
576,TIA2929AZC
577,PI2929IC
578,II2929C
579,PI2929OC
580,TIA2929BC
581,TIA2929BZC
582,II2940C
583,PI2939OC
584,ZI2940C
585,ZI29261C
586,ZI2933C
587,PI2933IC
588,SI2933C
589,II2933C
590,II2931C
591,PI2934IC
592,PI2934OC
593,ZI2935C
594,II2935C
595,II2943C
596,LIA19492C
597,LIA19494C
598,LIA19496C
599,A1618
600,A1327
601,A1309
602,A1506
603,A1512
604,A1538
605,A1833
606,A1804
607,A1002
608,A1222
609,II1618C
610,II1327C
611,II1309C
612,II1506C
613,II1512C
614,II1538C
615,II1833C
616,II1804C
617,II1002C
618,II1222C
619,TIA1618C
620,TIA1327AC
621,TIA1327AC
622,TIA1506A1C
623,TIA1538C
624,TIA1538C
625,TIA1538C
626,TIA1804C
627,TIA1002ZC
628,TIA1222C
629,TIA1618C
630,TIA1327BC
631,TIA1327BC
632,TIA1506B1C
633,TIA1538C
634,TIA1538C
635,TIA1538C
636,TIA1804C
637,TIA1002ZC
638,TIA1222C
639,TIA1618C
640,TIA1327CC
641,TIA1327CC
642,TIA1506C1C
643,TIA1538C
644,TIA1538C
645,TIA1538C
646,TIA1804C
647,TIA1002ZC
648,TIA1222C
649,TIA1618Z1C
650,TIA1327Z1C
651,TIA1309Z1C
652,TIA1506Z1C
653,TIA1538Z1C
654,TIA1833Z1C
655,TIA1804ZC
656,TIA1002Z1C
657,TIA1222Z1C
658,TIA1618Z1C
659,TIA1327Z2C
660,TIA1309Z1C
661,TIA1506Z2C
662,TIA1538Z1C
663,TIA1833Z2C
664,TIA1804ZC
665,TIA1002Z1C
666,TIA1222Z2C
667,TIA1618Z2C
668,TIA1327Z3C
669,TIA1506Z3C
670,TIA1538Z2C
671,TIA1833C
672,TIA1833C
673,TIA1833C
674,TIA1618Z2C
675,TIA1327Z4C
676,TIA1506Z4C
677,TIA1538Z2C
678,TIA1833C
679,TIA1833C
680,TIA1833C
681,TIA1833C
682,A1929
683,A1926
684,A1935
685,A2929
686,A2926
687,A2935
688,II1929C
689,II1926C
690,II1935C
691,II2929C
692,II2926C
693,II2935C
694,TIA1929C
695,TIA1926C
696,TIA1935C
697,TIA2929C
698,TIA2926C
699,TIA2935C
700,TIA1929Z1C
701,TIA1926Z1C
702,TIA1935Z1C
703,TIA2929Z1C
704,TIA2926Z1C
705,TIA2935Z1C
706,TIA1929Z1C
707,TIA1926Z2C
708,TIA1935Z2C
709,TIA2929Z1C
710,TIA2926Z2C
711,TIA2935Z2C
712,FI142311
713,II1401C
714,ZF1430
715,ZR1430
716,ZF1429
717,ZR1429
718,ZF18142
719,ZR18142
720,ZF18143
721,ZR18143
